Name;Price;Link;Image;Availability;Source
Sampon pentru dermatita seboreica Sebum Control, 200 ml, Frezyderm;62,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-pentru-dermatita-seboreica-sebum-control-200-ml-frezyderm-p379978;https://media.farmaciatei.ro/gallery/97168/sampon-pentru-dermatita-seboreica-sebum-control-200-ml-frezyderm-2435.jpg;true;Farmacia Tei
Lotiune tonica pentru par Sebum Control, 100 ml, Frezyderm;71,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/lotiune-tonica-pentru-par-sebum-control-100-ml-frezyderm-p383270;https://media.farmaciatei.ro/gallery/104625/lotiune-tonica-pentru-par-sebum-control-100-ml-frezyderm-857.jpg;true;Farmacia Tei
Sampon pentru par cu tendinta de ingrasare Oily, 200 ml, Seboradin;41,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-pentru-par-cu-tendinta-de-ingrasare-oily-200-ml-seboradin-p345834;https://media.farmaciatei.ro/images/products-photos/sampon-pentru-par-cu-tendinta-de-ingrasare-seboradin-oily-200-ml-lara-4514.jpg;true;Farmacia Tei
Sampon tratament sebo-reglator pentru par gras Sabal, 200 ml,...;50,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-tratament-sebo-reglator-pentru-par-gras-sabal-200-ml-ducray-p337366;https://media.farmaciatei.ro/gallery/10101/sampon-tratament-sebo-reglator-pentru-par-gras-sabal-200-ml-ducray-7309.png;true;Farmacia Tei
Lotiune pentru par cu tendinta de ingrasare Oily, 200 ml, Seboradin;38,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/lotiune-pentru-par-cu-tendinta-de-ingrasare-oily-200-ml-seboradin-p348552;https://media.farmaciatei.ro/gallery/741/SEBORADIN_OILY-lotiune.jpg;true;Farmacia Tei
Sampon detoxifiant cu extract de menta acvatica pentru par expus...;41,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-detoxifiant-cu-extract-de-menta-acvatica-pentru-par-expus-la-poluare-200-ml-klorane-p341608;https://media.farmaciatei.ro/gallery/46882/sampon-detoxifiant-cu-extract-de-menta-acvatica-pentru-par-expus-la-poluare-200-ml-klorane-3274.jpg;true;Farmacia Tei
Sampon pentru scalp sensibil Sensitive Sebomax, 200 ml, Biotrade;44,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-pentru-scalp-sensibil-sensitive-sebomax-200-ml-biotrade-p325324;https://media.farmaciatei.ro/gallery/46245/sampon-pentru-scalp-sensibil-sebomax-sensitive-200-ml-biotrade-8960.jpg;true;Farmacia Tei
Balsam protector cu extract de menta acvatica pentru par expus...;54,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/balsam-protector-cu-extract-de-menta-acvatica-pentru-par-expus-la-poluare-150-ml-klorane-p342182;https://media.farmaciatei.ro/images/products-photos/balsam-menta-150ml.jpg;true;Farmacia Tei
Balsam pentru par cu tendinta de ingrasare Oily, 200 ml, Seboradin;38,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/balsam-pentru-par-cu-tendinta-de-ingrasare-oily-200-ml-seboradin-p345835;https://media.farmaciatei.ro/images/products-photos/balsam-pentru-par-cu-tendinta-de-ingrasare-seboradin-oily-200-ml-lara-8895.jpg;true;Farmacia Tei
Sampon uscat cu extract de menta acvatica, 150 ml, Klorane;58,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-uscat-cu-extract-de-menta-acvatica-150-ml-klorane-p350250;https://media.farmaciatei.ro/gallery/4993/sampon-uscat-cu-extract-de-menta-acvatica-150-ml-klorane-4255.png;true;Farmacia Tei
